Jam ID,Jam Link,Jam Title,Joined Count,Dollar Sentences
330019,https://itch.io/jam/indiepocalypse-issue-41-paying-anthology,Indiepocalypse Issue #41 (Paying Anthology),186,"UP FRONT: $20 USD   
BACK END: 5% of sales (before anthology breaks even) | 8% (after)"
329046,https://itch.io/jam/bullet-hell-jam-2023,Bullet Hell Jam 2023,1412,"THE WINNING GAME WILL GET $25 - the top game in the ""Overall"" category will get $25. They will have to have a bank account that can receive money from the UK, or a PayPal account. | For the duration of the jam, Wayfarer Games is making the unity asset   BulletFury free to use (usually $25). The top three games in the
    ""Overall"" category will get a Unity Asset Store key for it, too. You do not have to use BulletFury, or Unity! The asset is designed around performance, plus you won't have to think about spawning bullets, but it is entirely optional."
330229,https://itch.io/jam/gdevelop-3d-jam,GDevelop 3D Jam,372,1st - $50 Voucher2nd - $25 Voucher3rd - $25 Voucher
329052,https://itch.io/jam/ryan-laley-games-spring-jam,Ryan Laley Games Spring Jam,311,"A Games Jam is an excellent and fun challenge to test your skills, but to sweeten the pot further the winner at the end will be awarded a $200 USD cash prize!"
329514,https://itch.io/jam/earthquake-relief-bundle-for-turkiye-syria,Earthquake Relief Bundle for Turkiye & Syria,170,- Collaborated with Humble Bundle for another Earthquake relief bundle and raised 3.5M$ for the ones in need.
329780,https://itch.io/jam/the-guardian-jam,The Guardian Jam,26,"Sim e sim! O perÃ­odo de votaÃ§Ãµes ocorrerÃ¡ entre os dias 16 e 23 de abril e o resultado final serÃ¡ revelado no dia 24 de abril! Qualquer participante da Jam pode jogar e votar nos jogos submetidos.Sobre os prÃªmios: As 3 equipes com a melhor pontuaÃ§Ã£o mÃ©dia receberÃ£o R$25! JÃ¡ dÃ¡ uma pizza de comemoraÃ§Ã£o! | For prizes, the Top 3 Overall teams will get 25 R$ each! Enough for a celebration pizza!"
330347,https://itch.io/jam/pastel-game-jam,Pastel Game Jam,18,Everyone that takes part will be put into a prize draw for a Â£10 / $10 steam voucher
328609,https://itch.io/jam/uscgamejam23,USC Games Online High School Game Jam,35,First Place: $100 USC online store gift card | Second Place: $50 USC online store gift card | Runner Ups (3): $25 USC online store gift card
328833,https://itch.io/jam/nexus-game-jam-iii,NeXus Game Jam III ($1000 Prize Pool + 2 Kronnect Vouchers),299,PlusMusic is sponsoring this jam with an additional prize : Best Use of PlusMusic Award! The Best Use of Plus Music will be rewarded by 200$! | 1#ð¥ - The winner will get $500 USD + 1 Kronnect Unity Asset Store Voucher. | 2#ð¥ - The runner-up will get $200 USD + 1 Kronnect Unity Asset Store Voucher. | 3#ð¥ - The second runner-up will get $100 USD | S#ðµ - Best Use of PlusMusic Award - $200 USD
329698,https://itch.io/jam/boba-design-jam-2-prizes-,Boba Jam 2: Prizes! ð,19,1st: $150 Keychron gift card (can be split up to 3 ways); $90 tutoring credit; 2 months of Mullvad VPN or 1 month Discord Nitro2nd: $50 Keychron gift card; $90 tutoring credit; 2 months of Mullvad VPN or 1 month Discord Nitro3rd: $90 tutoring credit; 2 months of Mullvad VPN or 1 month Discord NitroRunners-up: 1 free class session (equivalent to $30 credit)
328947,https://itch.io/jam/zeno-jam-7,ZenoJam-The perfect jam for beginners,219,Participation Prize 100$ -  whose teams use YAHAHA Studio to create the game and submit will receive. | The Best Game 200$ - The best game of the game jam. | The Best Game created with YAHAHA Studio of the game jam  $300 - This will be decided by YAHAHA Officials.
329716,https://itch.io/jam/retro-platform-jam-6,Retro Platform Jam #6,67,First Prize Reward: 60% of the prize pool ($223) Second Prize Reward: 30% of the prize pool  ($111)Third Prize Reward: 10% of the prize pool ($37)
